this	DETdetNOUN	year	0
year	NOUNnmod:possPROPN	Prize	0
's	PARTcaseNOUN	year	0
Nobel	PROPNcompoundPROPN	Prize	0
Prize	PROPNnsubj:passVERB	award	0
in	ADPcasePROPN	Physics	0
Physics	PROPNnmodPROPN	Prize	0
have	AUXauxVERB	award	0
be	AUXaux:passVERB	award	0
award	VERB_PREDICATE_OF	0	0
for	ADPcaseNOUN	work	0
earlier	ADJamodNOUN	work	0
work	NOUNoblVERB	award	0
0	ABOUT	work	0
that	PRONnsubjVERB	establish	0
indirectly	ADVadvmodVERB	establish	0
establish	VERBacl:relclNOUN	work	0
the	DETdetNOUN	existence	0
existence	NOUNobjVERB	establish	0
0	ABOUT	existence	0
of	ADPcaseNOUN	hole	0
black	ADJamodNOUN	hole	0
hole	NOUNnmodNOUN	existence	0
.	PUNCTpunctVERB	award	0
the	DETdetNOUN	physicist	1
english	ADJamodNOUN	physicist	1
mathematical	ADJamodNOUN	physicist	1
physicist	NOUNcompoundPROPN	Roger	1
Roger	PROPNnsubjVERB	win	1
Penrose	PROPNflatPROPN	Roger	1
win	VERB_PREDICATE_OF	1	1
half	DETdet:predetNOUN	prize	1
the	DETdetNOUN	prize	1
prize	NOUNobjVERB	win	1
1	ABOUT	prize	1
for	ADPcaseNOUN	paper	1
he	PRONnmod:possNOUN	paper	1
1965	NUMnummodNOUN	paper	1
paper	NOUNnmodNOUN	prize	1
show	VERBaclNOUN	prize	1
that	SCONJmarkNOUN	prediction	1
black	ADJamodNOUN	formation	1
hole	NOUNcompoundNOUN	formation	1
formation	NOUNnsubjNOUN	prediction	1
1	ABOUT	formation	1
be	AUXcopNOUN	prediction	1
a	DETdetNOUN	prediction	1
robust	ADJamodNOUN	prediction	1
prediction	NOUNccompVERB	show	1
of	ADPcaseNOUN	theory	1
the	DETdetNOUN	theory	1
general	ADJamodNOUN	theory	1
theory	NOUNnmodNOUN	prediction	1
of	ADPcaseNOUN	relativity	1
relativity	NOUNnmodNOUN	theory	1
,	PUNCTpunctNOUN	prediction	1
